Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_perk_name_6,Impact resistance,Impact resistance,Odolnost vůči nárazu,Schlagfestigkeit,Сопротивление ударам,Odporność na uderzenia,Ütköz? ellenállás,Resistenza all'impatto,Resistencia al impacto,Résistance aux chocs,冲击阻力,耐衝撃性,Resistência ao impacto,冲击阻力
syb_perk_name_6000,Reclamation,Reclamation,Rekultivace,Rückgewinnung,Рекультивация,Regeneracja,Helyreállítás,Bonifica,Recuperación,Réclamation,开垦,埋め立て,Recuperação,开垦
syb_perk_name_6001,Greenhouses,Greenhouses,Skleníky,Gewächshäuser,Теплицы,Szklarnie,Üvegházak,Serre,Invernaderos,Serres,温室,温室,Gretos,温室
syb_perk_name_6002,Fertilizing the soil,Fertilizing the soil,Hnojení půdy,Düngung des Bodens,Удобрение почвы,Nawożenie gleby,A talaj megtermékenyítése,Fertilizzare il terreno,Fertilizando el suelo,Fertiliser le sol,施肥土壤,土壌を肥やす,Fertilizando o solo,施肥土壤
syb_perk_name_6003,Seed collection,Seed collection,Sběr semen,Samensammlung,Сбор семян,Kolekcja nasion,Vet?maggy?jtés,Collezione di semi,Recolección de semillas,Collection de graines,种子收集,シードコレクション,Coleta de sementes,种子收集
syb_perk_name_6004,Increased harvest,Increased harvest,Zvýšená sklizeň,Erhöhte Ernte,Увеличеный урожай,Zwiększone zbiory,Megnövekedett betakarítás,Aumento del raccolto,Aumento de la cosecha,Récolte accrue,增加收获,収穫の増加,Aumento da colheita,增加收获
syb_perk_name_6005,Domestication of chickens,Domestication of chickens,Domestikace kuřat,Domestizierung von Hühnern,Приручение кур,Udomowienie kurczaków,Csirkék háziasítása,Addomesticamento dei polli,Domesticación de pollos,Domestication des poulets,鸡的驯化,鶏の家畜化,Domesticação de galinhas,鸡的驯化
syb_perk_name_6006,Domestication of cows,Domestication of cows,Domestikace krav,Domestizierung von Kühen,Приручение коров,Domówowanie krów,A tehenek háziasítása,Addomesticamento delle mucche,Domesticación de vacas,Domestication des vaches,牛的驯化,牛の家畜化,Domesticação de vacas,牛的驯化
syb_perk_name_6007,Taming goats,Taming goats,Zkrocení koz,Ziegenziegen,Приручение коз,Oswajanie kóz,Kecskék megszelídítése,Dominando le capre,Cabras domesticadas,Taming chèvres,驯服山羊,ヤギを飼いならします,Domar cabras,驯服山羊
syb_perk_name_6008,Taming the sheep,Taming the sheep,Zkrocení ovcí,Die Schafe zähmen,Приручение овец,Oświedzanie owcy,A juhok megszelídítése,Domando le pecore,Domesticando las ovejas,Apprivoiser les moutons,驯服绵羊,羊を飼いならす,Dominando as ovelhas,驯服绵羊
syb_perk_name_7,Cut Resistance,Cut Resistance,Řezaný odpor,Widerstand schneiden,Сопротивление порезам,Wyciąć opór,Levágott ellenállás,Tagliare la resistenza,Resistencia de corte,Faire une résistance,切割电阻,抵抗を切断します,Corte de resistência,切割电阻
syb_perk_name_7000,Butcher,Butcher,Řezník,Metzger,Мясник,Rzeźnik,Hentes,Macellaio,Carnicero,Boucher,屠夫,肉屋,Açougueiro,屠夫
syb_perk_name_7001,Skinning,Skinning,Skinning,Häuten,Снятие шкур,Skórka,Nyúzás,Skinning,Desaliñado,Enrichissant,皮肤,スキニング,Esfolando,皮肤
syb_perk_name_7002,Using decoys,Using decoys,Pomocí návnad,Verwenden von Ködern,Использование манков,Za pomocą wabików,Csalók használatával,Usando le esche,Usando señuelos,Utilisation de leurres,使用诱饵,おとりの使用,Usando chamarizes,使用诱饵
syb_perk_name_7003,Butchering speed,Butchering speed,Rychlost řeznictví,Schlachtengeschwindigkeit,Скорость разделки,Prędkość rzeźnika,Mészárolási sebesség,Velocità macelleria,Velocidad de carnicería,Vitesse de boucherie,屠宰速度,屠殺速度,Velocidade de massacre,屠宰速度
syb_perk_name_7004,Setting traps,Setting traps,Nastavení pastí,Fallen einstellen,Установка ловушек,Ustawienie pułapek,Csapdák beállítása,Impostazione trappole,Configuración de trampas,Définition des pièges,设置陷阱,トラップの設定,Definir armadilhas,设置陷阱
syb_perk_name_7005,Skillful hands,Skillful hands,Obratné ruce,Geschickte Hände,Прямые руки,Zręczne ręce,Ügyes kezek,Mani abili,Manos hábiles,Mains habiles,熟练的手,熟練した手,Mãos hábeis,熟练的手
syb_perk_name_8,Recovery of hematomas,Recovery of hematomas,Zotavení hematomů,Wiederherstellung von Hämatomen,Восстановление гематом,Odzyskiwanie krwiaków,Hematómák visszanyerése,Recupero di ematomi,Recuperación de hematomas,Récupération des hématomes,恢复血肿,血腫の回復,Recuperação de hematomas,恢复血肿
syb_perk_name_8000,Fishing for bread,Fishing for bread,Rybaření na chléb,Fischen nach Brot,Ловля на хлеб,Łowienie chleba,Horgászat kenyérért,Pesca per il pane,Pescando pan,Pêche au pain,钓鱼面包,パンの釣り,Pescar para pão,钓鱼面包
syb_perk_name_8001,Trolling,Trolling,Trolling,Trolling,Ловля на блесну,Trolling,Trolling,Trolling,Ofendiendo,Pêche à la traîne,拖钓,トローリング,Trollando,拖钓
syb_perk_name_8002,Fishing for meat,Fishing for meat,Rybaření na maso,Fischen nach Fleisch,Ловля на мясо,Łowienie mięsa,Húshorgászat,Pesca di carne,Pesca de carne,Pêche à la viande,钓鱼吃肉,肉の釣り,Pesca de carne,钓鱼吃肉
syb_perk_name_8003,Using networks,Using networks,Pomocí sítí,Verwenden von Netzwerken,Использование сетей,Korzystanie z sieci,Hálózatok használata,Utilizzo di reti,Uso de redes,Utilisation de réseaux,使用网络,ネットワークを使用します,Usando redes,使用网络
syb_perk_name_8004,Using traps,Using traps,Používání pastí,Mit Fallen,Использование ловушек,Za pomocą pułapek,Csapdák használata,Usando trappole,Usando trampas,Utilisation de pièges,使用陷阱,トラップの使用,Usando armadilhas,使用陷阱
syb_perk_name_8005,Catching on a worm,Catching on a worm,Chytání červa,Einen Wurm fangen,Ловля на червя,Łapanie robaka,A féreg elkapása,Catturare un verme,Atrapando a un gusano,Attraper un ver,抓住蠕虫,ワームを捕まえる,Pegando um verme,抓住蠕虫
syb_perk_name_8006,Skillful hands,Skillful hands,Obratné ruce,Geschickte Hände,Прямые руки,Zręczne ręce,Ügyes kezek,Mani abili,Manos hábiles,Mains habiles,熟练的手,熟練した手,Mãos hábeis,熟练的手
syb_perk_name_9,Healing wounds,Healing wounds,Léčivé rány,Wunden heilen,Заживление ран,Leczenie ran,Gyógyító sebek,Ferite curative,Curando heridas,La guérison des plaies,治愈伤口,癒しの傷,Cicatrizando feridas,治愈伤口
syb_perk_name_9000,Spark plug service,Spark plug service,Služba zapalovací svíčky,Zündkerzenservice,Обслуживание свечей зажигания,Usługa świecy zapłonowej,Gyújtógyertya -szolgáltatás,Servizio per le candele,Servicio de bujías,Service de bougie d'allumage,火花塞服务,スパークプラグサービス,Serviço de vela de ignição,火花塞服务
syb_perk_name_9001,Wheel service,Wheel service,Služba kola,Radservice,Обслуживание колес,Obsługa kół,Kerékszolgáltatás,Servizio delle ruote,Servicio de ruedas,Service de roue,车轮服务,ホイールサービス,Serviço de roda,车轮服务
syb_perk_name_9002,Door service,Door service,Služba dveří,Türservice,Обслуживание дверей,Obsługa drzwi,Ajtószolgálat,Servizio della porta,Servicio de puertas,Service de porte,门服务,ドアサービス,Serviço de porta,门服务
syb_perk_name_9003,Gas tank repair,Gas tank repair,Oprava nádrže na plyn,Gastankreparatur,Ремонт бензобака,Naprawa zbiornika gazu,Gáztartály -javítás,Riparazione del serbatoio del gas,Reparación del tanque de gasolina,Réparation du réservoir d'essence,汽油箱维修,ガソリンタンクの修理,Reparo do tanque de gás,汽油箱维修
syb_perk_name_9004,Glass maintenance,Glass maintenance,Údržba skla,Glaswartung,Обслуживание стекол,Konserwacja szkła,Üvegkarbantartás,Manutenzione del vetro,Mantenimiento de vidrio,Entretien de verre,玻璃维护,ガラスメンテナンス,Manutenção de vidro,玻璃维护
syb_perk_name_9005,Body repair,Body repair,Oprava těla,Körperreparatur,Ремонт кузова,Naprawa ciała,Testjavítás,Riparazione del corpo,Reparación corporal,Réparation du corps,身体维修,体の修理,Reparo corporal,身体维修
syb_perk_name_9006,Engine service,Engine service,Motorová služba,Motorservice,Обслуживание двигателя,Usługa silnika,Motorszolgáltatás,Servizio motore,Servicio de motor,Service de moteur,发动机服务,エンジンサービス,Serviço de motor,发动机服务
syb_perk_name_9007,Gasoline in the gas tank,Gasoline in the gas tank,Benzín v plynové nádrži,Benzin im Gastank,Бензин в бензобаке,Benzyna w zbiorniku gazu,Benzin a gáztartályban,Benzina nel serbatoio del gas,Gasolina en el tanque de gasolina,Essence dans le réservoir d'essence,汽油箱中的汽油,ガソリンタンクのガソリン,Gasolina no tanque de gasolina,汽油箱中的汽油
syb_perk_name_9008,Disassembly of spare parts,Disassembly of spare parts,Demontáž náhradních dílů,Demontage von Ersatzteilen,Разборка запчастей,Demontaż części zamiennych,A pótalkatrészek szétszerelése,Smontaggio dei pezzi di ricambio,Desmontaje de repuestos,Démontage des pièces de rechange,拆卸零件,スペアパーツの分解,Desmontagem de peças de reposição,拆卸零件
syb_perk_name_9009,Repair of spare parts,Repair of spare parts,Oprava náhradních dílů,Reparatur von Ersatzteilen,Ремонт запчастей,Naprawa części zamiennych,A pótalkatrészek javítása,Riparazione di pezzi di ricambio,Reparación de repuestos,Réparation des pièces de rechange,备件修理,スペアパーツの修理,Reparo de peças de reposição,备件修理
syb_perk_name_9010,Skillful hands,Skillful hands,Obratné ruce,Geschickte Hände,Прямые руки,Zręczne ręce,Ügyes kezek,Mani abili,Manos hábiles,Mains habiles,熟练的手,熟練した手,Mãos hábeis,熟练的手
syb_piperacyclin_name,Piperacillin,Piperacillin,Piperacillin,Piperacillin,Пиперациллин,Piperacillina,Piperacillin,Pipercillin,Piperacilina,Piperacilline,哌拉西林,ピペラシリン,Piperacilina,哌拉西林
syb_polisorb_name,Polysorb,Polysorb,Polysorb,Polysorb,Полисорб,Polysorb,Poliszorb,Polysorb,Polysorb,Polysorb,polysorb,PolySorr,Polysorb,polysorb
syb_potassium_hexacyanoferrate,Potassium-Iron Hexacyanoferrate,Potassium-Iron Hexacyanoferrate,Hexacyanoferát draselný,Kalium-Eisen-HexacyanoFerrate,Калий-Железо Гексацианоферрат,Heksacyanoferrat potasu,Kálium-vas hexacianoferrát,Esacynoferrate di potassio-ferro,Hexacato de hierro de potasio,Hexacyanoferrate de potassium-fer,铁铁六酰胺甲酸,カリウム鉄ヘキサシアノフェレート,Hexaciconoferrato de potássio-ferro,铁铁六酰胺甲酸
syb_potassium_iodide,Potassium Iodide,Potassium Iodide,Jodid draselný,Kaliumjodid,Калия Йодид,Jodek potasu,Kálium-jodid,Ioduro di potassio,Yoduro de potasio,Iodure de potassium,碘化钾,ヨウ化カリウム,Iodeto de potássio,碘化钾
syb_promedol_name,Promedol,Promedol,Promol,Promedol,Промедол,Promedol,Promedol,Promedolo,Promedol,Promedol,Promedol,プロメドル,Promedol,Promedol
syb_propanidid_name,Propanidid,Propanidid,Propanidid,Propanidid,Пропанидид,Propanidid,Propanidid,Propanidide,Propanídida,Propanidid,丙烷,Propanidid,Propanidid,丙烷
syb_propofol_name,Propofol,Propofol,Propofol,Propofol,Пропофол,Propofol,Propofol,Propofol,Propofol,Propofol,丙泊酚,プロポフォール,Propofol,丙泊酚
syb_pve_intrude,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,V tomto místě jste porušili moratorium na násilí. Nyní způsobíte plné škody od ostatních hráčů.,Sie haben das Moratorium gegen Gewalt an diesem Ort verletzt. Jetzt nehmen Sie vollen Schaden von anderen Spielern an.,Вы нарушили мораторий на насилие в этом месте. Теперь вы получаете полный урон от других игроков.,W tym miejscu naruszyłeś moratorium na przemoc. Teraz podejmujesz pełne obrażenia od innych graczy.,Megsértette az er?szakkal kapcsolatos moratóriumot ezen a helyen. Most már teljes károkat vesz fel más játékosoktól.,Hai violato la moratoria sulla violenza in questa posizione. Ora subisci danni completi da altri giocatori.,Has violado la moratoria sobre la violencia en este lugar. Ahora recibes el daño completo de otros jugadores.,"Vous avez violé le moratoire sur la violence à cet endroit. Maintenant, vous subissez des dégâts complets des autres joueurs.",您违反了该地点暴力的暂停。现在，您会受到其他玩家的全部伤害。,あなたはこの場所の暴力に関するモラトリアムに違反しました。今、あなたは他のプレイヤーから完全なダメージを与えます。,Você violou a moratória da violência neste local. Agora você sofre danos completos de outros jogadores.,您违反了该地点暴力的暂停。现在，您会受到其他玩家的全部伤害。
syb_radioprotector,Radioprotector,Radioprotector,Radioprotektor,Radioprotektor,Радиопротектор,Radioprotektor,Rádiókoprotektor,Radioprotettore,Radioprotector,Radioprotecteur,辐射保护剂,放射性プロテクター,Radioprotetor,辐射保护剂
syb_removechar,Delete character,Delete character,Odstranit znak,Charakter löschen,Удалить персонажа,Usuń charakter,Karakter törlése,Elimina carattere,Eliminar personaje,Supprimer le caractère,删除字符,文字を削除します,Excluir o personagem,删除字符
syb_resp_price,Count of souls to respawn:,Count of souls to respawn:,Počet duší na respawn:,Zählung der Seelen zu respawnen:,Необходимо душ для возрождения:,Hrabia dusz do odrodzenia:,A lelkek száma újraküldni:,Conteggio delle anime a Respirare:,Cuenta de almas para reaparecer:,Compte d'âmes à réapparaître:,灵魂伯爵重生：,リスポーンする魂の数：,Contagem de almas para reaparecer:,灵魂伯爵重生：
syb_respawn,RESPAWN,RESPAWN,Respawn,Respawn,ВОЗРОЖДЕНИЕ,Odradzać,Újrapúszít,Respiraggio,Reaparición,Réapparaître,重生,リスポーン,REAPARECIMENTO,重生
syb_salofalk_name,Salofalk,Salofalk,Salofalk,Salofalk,Салофальк,Salofalk,Szalofk,Salofalk,Salto,Salofalk,Salofalk,サロファルク,Salofalk,Salofalk
syb_salve_desc,Sealed container with ointment. Only the name and expiration date can be seen on the label. It seems it can still be applied.,Sealed container with ointment. Only the name and expiration date can be seen on the label. It seems it can still be applied.,"Uzavřená kontejner s mastí. Na etiketě je vidět pouze datum názvu a vypršení platnosti. Zdá se, že to stále lze použít.","Versiegelter Behälter mit Salbe. Auf dem Etikett ist nur der Name und das Ablaufdatum zu sehen. Es scheint, dass es immer noch angewendet werden kann.",Герметичный контейнер с мазью. На этикетке можно рассмотреть только название и срок годности. Кажется ее все еще можно применять.,"Uszczelniony pojemnik z maścią. Tylko nazwa i data ważności można zobaczyć na etykiecie. Wygląda na to, że nadal można go zastosować.","Lezárt tartály ken?csrel. Csak a név és a lejárati dátum látható a címkén. Úgy t?nik, hogy továbbra is alkalmazható.",Contenitore sigillato con unguento. Solo il nome e la data di scadenza possono essere visualizzati sull'etichetta. Sembra che possa ancora essere applicato.,Contenedor sellado con ungüento. Solo se puede ver el nombre y la fecha de vencimiento en la etiqueta. Parece que todavía se puede aplicar.,Récipient scellé avec pommade. Seul le nom et la date d'expiration peuvent être vus sur l'étiquette. Il semble qu'il puisse être appliqué.,用软膏密封容器。在标签上只能看到名称和到期日期。似乎仍然可以应用。,軟膏付きの密閉容器。ラベルでは、名前と有効期限のみが表示されます。まだ適用できるようです。,Recipiente selado com pomada. Somente o nome e a data de validade podem ser vistos no rótulo. Parece que ainda pode ser aplicado.,用软膏密封容器。在标签上只能看到名称和到期日期。似乎仍然可以应用。
syb_say_name,Greet,Greet,Pozdravit,Grüßen,Поприветствовать,Powitać,Üdvözöl,Salutare,Saludar,Saluer,迎接,挨拶する,Saudar,迎接
syb_sbag_packed_desc,A household item for rest and sleep.,A household item for rest and sleep.,Položka domácnosti pro odpočinek a spánek.,Ein Haushaltsgegenstand für Ruhe und Schlaf.,"Предмет походного быта, предназначенный для отдыха и сна.",Przedmiot gospodarstwa domowego do odpoczynku i snu.,Háztartási cikk a pihenéshez és az alváshoz.,Un oggetto domestico per riposo e sonno.,Un artículo doméstico para descansar y dormir.,Un article ménage pour le repos et le sommeil.,休息和睡觉的家居用品。,休息と睡眠のための家庭用品。,Um item doméstico para descanso e dormir.,休息和睡觉的家居用品。
syb_sbag_packed_name,Sleeping bag,Sleeping bag,Spací pytel,Schlafsack,Спальный мешок,Śpiwór,Hálózsák,Sacco a pelo,Bolsa de dormir,Sac de couchage,睡袋,寝袋,Saco de dormir,睡袋
syb_search_target_inv,Search,Search,Vyhledávání,Suchen,Обыскать,Szukaj,Keresés,Ricerca,Buscar,Recherche,搜索,検索,Procurar,搜索
syb_secondname,Second name,Second name,Druhé jméno,Zweitname,Фамилия,Drugie imię,Második név,Secondo nome,Segundo nombre,Nom de famille,第二个名字,ミドルネーム,Segundo nome,第二个名字
syb_skill_desc0,"Immunity is responsible for recognizing and fighting the body against disease, viruses and infections. It is developed over time after successful treatment of various ailments.","Immunity is responsible for recognizing and fighting the body against disease, viruses and infections. It is developed over time after successful treatment of various ailments.","Imunita je zodpovědná za rozpoznávání a boj proti tělu proti nemocem, virům a infekcím. Vyvíjí se v průběhu času po úspěšné léčbě různých onemocnění.","Immunität ist verantwortlich für die Erkennung und Bekämpfung des Körpers gegen Krankheiten, Viren und Infektionen. Es wurde im Laufe der Zeit nach erfolgreicher Behandlung verschiedener Beschwerden entwickelt.","Иммунитет отвечает за распознавание и борьбу организма с болезнями, вирусами и инфекциями. Вырабатывается со временем после успешного лечения различных недугов.","Odporność jest odpowiedzialna za rozpoznawanie i walkę z organizmem z chorobą, wirusami i infekcjami. Z czasem jest opracowywany po pomyślnym leczeniu różnych dolegliwości.","Az immunitás felel?s a test felismeréséért és elleni küzdelemért a betegség, a vírusok és a fert?zések ellen. Az id? múlásával a különféle betegségek sikeres kezelése után fejlesztették ki.","L'immunità è responsabile del riconoscimento e della lotta al corpo contro malattie, virus e infezioni. È sviluppato nel tempo dopo un trattamento riuscito di vari disturbi.","La inmunidad es responsable de reconocer y combatir el cuerpo contra las enfermedades, los virus e infecciones. Se desarrolla con el tiempo después del tratamiento exitoso de varias dolencias.","L'immunité est responsable de la reconnaissance et de la lutte contre le corps contre la maladie, les virus et les infections. Il est développé au fil du temps après un traitement réussi de diverses affections.",免疫力负责识别和对抗身体的疾病，病毒和感染。成功治疗各种疾病后，它是随着时间的推移而开发的。,免疫は、病気、ウイルス、感染症に対して身体を認識し、闘う責任があります。さまざまな病気の治療が成功した後、時間の経過とともに開発されます。,"A imunidade é responsável por reconhecer e combater o corpo contra doenças, vírus e infecções. É desenvolvido ao longo do tempo após o tratamento bem -sucedido de várias doenças.",免疫力负责识别和对抗身体的疾病，病毒和感染。成功治疗各种疾病后，它是随着时间的推移而开发的。
syb_skill_desc1,"Athletics allows you to run long distances, lose less stamina, hold your breath longer. Trained by regular jogging.","Athletics allows you to run long distances, lose less stamina, hold your breath longer. Trained by regular jogging.","Atletika vám umožňuje běžet na velké vzdálenosti, ztratit menší výdrž, déle zadržet dech. Vyškolen pravidelným joggingem.","Durch die Leichtathletik können Sie lange Strecken laufen, weniger Ausdauer verlieren, den Atem länger anhalten. Trainiert durch reguläres Joggen.","Атлетика позволяет вам преодолевать большие расстояния бегом, терять меньше выносливости, дольше задерживать дыхание. Тренируется регулярными пробежками.","Lekkoatletyka pozwala biec na duże odległości, tracić mniej wytrzymałości, dłużej wstrzymywać oddech. Wyszkolony przez regularne jogging.","Az atlétika lehet?vé teszi, hogy hosszú távolságokat futtasson, kevesebb kitartást veszítsen, hosszabb ideig tartsa a lélegzetét. Rendszeres kocogás képzett.","L'atletica ti consente di correre lunghe distanze, perdere meno resistenza, trattenere il respiro più a lungo. Allenato da jogging regolare.","El atletismo te permite correr largas distancias, perder menos resistencia, contener la respiración por más tiempo. Entrenado por trotar regular.","L'athlétisme vous permet de courir de longues distances, de perdre moins d'endurance, de retenir votre souffle plus longtemps. Formé par le jogging régulier.",田径运动使您可以长距离跑步，减少耐力，呼吸更长的时间。由常规慢跑训练。,陸上競技を使用すると、長距離を走り、スタミナを減らし、息をより長く保持することができます。定期的なジョギングで訓練されています。,"O atletismo permite que você execute longas distâncias, perca menos resistência, prenda a respiração por mais tempo. Treinado por jogging regular.",田径运动使您可以长距离跑步，减少耐力，呼吸更长的时间。由常规慢跑训练。
syb_skill_desc10,"Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Elektronická dovednost umožňuje vytvářet a opravit různá elektronická zařízení a také rozebírat stávající zařízení do částí. Chcete -li trénovat dovednost, demontujte staré vybavení v domech a vytvořte si vlastní.","Mit Elektronikfähigkeiten können Sie verschiedene elektronische Geräte erstellen und reparieren und vorhandene Geräte in Teile zerlegt. Um die Fähigkeiten auszubilden, alte Ausrüstung in Häusern zu zerlegen und Ihre eigenen zu kreieren.","Навык электроники позволяет создавать и ремонтировать различные электронные устройства, а так же разбирать на детали уже имеющиеся устройства. Для тренировки навыка разбирайте старую технику в домах и создавайте собственную.","Umiejętność elektroniki pozwala tworzyć i naprawić różne urządzenia elektroniczne, a także demontaż istniejących urządzeń w części. Aby wyszkolić umiejętności, zdemontować stary sprzęt w domach i stworzyć własny.","Az elektronikai készségek lehet?vé teszik a különféle elektronikus eszközök létrehozását és javítását, valamint a meglév? eszközök alkatrészekre történ? szétszerelését. A készség kiképzéséhez szétszerelje a régi berendezéseket házakba, és hozzon létre sajátját.","L'abilità elettronica consente di creare e riparare vari dispositivi elettronici, nonché smontare i dispositivi esistenti in parti. Per addestrare l'abilità, smontare le vecchie attrezzature nelle case e crearne una tua.","La habilidad electrónica le permite crear y reparar varios dispositivos electrónicos, así como desmontar los dispositivos existentes en piezas. Para entrenar la habilidad, desmontar equipos viejos en casas y crear la suya propia.","La compétence électronique vous permet de créer et de réparer divers appareils électroniques, ainsi que de démonter les appareils existants en pièces. Pour former la compétence, démontez les anciens équipements dans les maisons et créez les vôtres.",电子技能使您可以创建和维修各种电子设备，并将现有设备拆分为各个部分。要训​​练技能，请在房屋中拆卸旧设备并创建自己的设备。,エレクトロニクススキルを使用すると、さまざまな電子デバイスを作成および修理したり、既存のデバイスを部品に分解したりできます。スキルを訓練するには、家の古い機器を分解し、独自の機器を作成してください。,"A habilidade eletrônica permite criar e reparar vários dispositivos eletrônicos, bem como desmontar os dispositivos existentes em peças. Para treinar a habilidade, desmonte o equipamento antigo em casas e crie o seu próprio.",电子技能使您可以创建和维修各种电子设备，并将现有设备拆分为各个部分。要训​​练技能，请在房屋中拆卸旧设备并创建自己的设备。
syb_skill_desc11,"The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","Dovednost tesaře vám umožňuje efektivněji pracovat s pracovním stolem dřeva a tesařství. Chcete -li zlepšit dovednost, vytvořte nové věci nebo demontujte staré na pracovním stole tesaře.","Mit der Carpenter -Fähigkeit können Sie effizienter mit Holz- und Tischler -Workbench arbeiten. Um die Fähigkeiten zu verbessern, schaffen Sie neue Dinge oder zerlegen alte auf der Arbeitbank des Carpenter.",Навык плотника позволяет более эффективно работать с деревом и столярным верстаком. Для улучшения навыка создавайте новые вещи или разбирайте старые на столярном верстаке.,"Umiejętność stolarza pozwala wydajniej pracować z drewnem i stolarstwem. Aby poprawić umiejętności, stwórz nowe rzeczy lub zdemontować stare w stole roboczym stolarza.","Az ács készsége lehet?vé teszi, hogy hatékonyabban dolgozzon a fa és az ács munkapaddal. A készség fejlesztése érdekében új dolgokat hozzon létre, vagy szétszerelje a régieket az ács munkapadján.","L'abilità del carpentiere ti consente di lavorare in modo più efficiente con il banco da lavoro in legno e carpenteria. Per migliorare l'abilità, creare nuove cose o smontare quelle vecchie sul banco di lavoro del carpentiere.","La habilidad de Carpenter le permite trabajar de manera más eficiente con el banco de trabajo de madera y carpintería. Para mejorar la habilidad, crear cosas nuevas o desmontar las viejas en el banco de trabajo del carpintero.","La compétence de menuisier vous permet de travailler plus efficacement avec le bois et la menuiserie. Pour améliorer les compétences, créez de nouvelles choses ou démontez des anciennes au Carpenter's Workbench.",木匠技能使您可以在木材和木工工作台上更有效地工作。为了提高技能，请在木匠的工作台上创建新事物或拆卸旧事物。,大工スキルを使用すると、木材や大工仕事のワークベンチをより効率的に作業できます。スキルを向上させるには、新しいものを作成したり、大工のワークベンチで古いものを分解したりします。,"A habilidade de carpinteiro permite que você trabalhe com mais eficiência com a bancada de madeira e carpintaria. Para melhorar a habilidade, crie coisas novas ou desmonte as antigas na bancada de trabalho do carpinteiro.",木匠技能使您可以在木材和木工工作台上更有效地工作。为了提高技能，请在木匠的工作台上创建新事物或拆卸旧事物。
syb_skill_desc12,"The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","Kovoworking dovednost umožňuje efektivněji pracovat s kovem a soustruhem. Chcete -li zlepšit dovednost, vytvořte nové věci nebo demontujte staré na soustruhu.","Mit der Metallbearbeitungskompetenz können Sie effizienter mit Metall und Drehmaschine arbeiten. Um die Fähigkeiten zu verbessern, schaffen Sie neue Dinge oder zerlegen alte auf einer Drehmaschine.",Навык металлообработки позволяет более эффективно работать с металлом и токарным станком. Для повышения мастерства создавайте новые вещи или разбирайте старые на токарном станке.,"Umiejętność obróbki metalu pozwala wydajniej pracować z metalem i tokarką. Aby poprawić umiejętności, stwórz nowe rzeczy lub zdemontować stare na tokarce.","A fémmegmunkáló készség lehet?vé teszi, hogy hatékonyabban dolgozzon a fémmel és az esztergaval. A készség fejlesztése érdekében új dolgokat hozzon létre, vagy szétszerelje a régieket egy esztergan.","L'abilità di lavorazione dei metalli ti consente di lavorare in modo più efficiente con il metallo e un tornio. Per migliorare l'abilità, creare nuove cose o smontare quelle vecchie su un tornio.","La habilidad de metalurgia te permite trabajar de manera más eficiente con metal y un torno. Para mejorar la habilidad, crear cosas nuevas o desmontar las viejas en un torno.","La compétence de travail des métaux vous permet de travailler plus efficacement avec le métal et un tour. Pour améliorer les compétences, créez de nouvelles choses ou démontez les anciennes sur un tour.",金属加工技能使您可以使用金属和车床更有效地工作。为了提高技能，请在车床上创建新事物或拆卸旧事物。,金属加工スキルにより、金属と旋盤でより効率的に作業することができます。スキルを向上させるには、新しいものを作成するか、旋盤に古いものを分解します。,"A habilidade de trabalho em metal permite que você trabalhe com mais eficiência com metal e um torno. Para melhorar a habilidade, crie coisas novas ou desmonte as antigas em um torno.",金属加工技能使您可以使用金属和车床更有效地工作。为了提高技能，请在车床上创建新事物或拆卸旧事物。
